Species,CommonName,Name,T1
 Centracanthus cirrus,Curled picarel ,Curled picarel - Centracanthus cirrus,NA
" Sepiidae, Sepiolidae","Cuttlefish, Bobtail squids, nei ","Cuttlefish, Bobtail squids, nei - Sepiidae, Sepiolidae",NA
 Sepia spp,Cuttlefishes nei ,Cuttlefishes nei - Sepia spp,NA
 Chromis chromis,Damselfish ,Damselfish - Chromis chromis,NA
"sea crabs, geryons nei",Deep,"Deep-sea crabs, geryons nei",NA
sea red crab ,Deep,Deep-sea red crab - Chaceon affinis,NA
water Cape hake ,Deep,Deep-water Cape hake - Merluccius paradoxus,NA
water catsharks ,Deep,Deep-water catsharks - Apristurus spp,NA
water red snapper ,Deep,Deep-water red snapper - Etelis carbunculus,NA
 Bathysolea profundicola,Deep water sole ,Deep water sole - Bathysolea profundicola,NA
 Glossanodon semifasciatus,Deepsea smelt ,Deepsea smelt - Glossanodon semifasciatus,NA
 Etelis coruscans,Deepwater longtail red snapper ,Deepwater longtail red snapper - Etelis coruscans,NA
 Parapenaeus longirostris,Deepwater rose shrimp ,Deepwater rose shrimp - Parapenaeus longirostris,NA
 Palaemon longirostris,Delta prawn ,Delta prawn - Palaemon longirostris,NA
 Perciformes,Demersal percomorphs nei ,Demersal percomorphs nei - Perciformes,NA
 Perciformes,Pelagic percomorphs nei ,Pelagic percomorphs nei - Perciformes,NA
 Dentex spp,Dentex nei ,Dentex nei - Dentex spp,NA
 Mobula mobular,Devil fish ,Devil fish - Mobula mobular,NA
Diadromous fishes,Diadromous fishes,Diadromous fishes,100025
 Thysanoteuthis rhombus,Diamondback squid ,Diamondback squid - Thysanoteuthis rhombus,NA
Diploconger polystigmatus,Diploconger polystigmatus,Diploconger polystigmatus,NA
 Squaliformes,"Dogfish sharks etc, nei ","Dogfish sharks etc, nei - Squaliformes",NA
 Squalidae,Dogfish sharks nei ,Dogfish sharks nei - Squalidae,NA
 Squalus spp,Dogfishes nei ,Dogfishes nei - Squalus spp,NA
" Squalidae, Scyliorhinidae","Dogfishes,Hounds, nei ","Dogfishes,Hounds, nei - Squalidae, Scyliorhinidae",NA
 Epinephelus caninus,Dogtooth grouper ,Dogtooth grouper - Epinephelus caninus,NA
 Gymnosarda unicolor,Dogtooth tuna ,Dogtooth tuna - Gymnosarda unicolor,NA
Dolichosudis fuliginosa,Dolichosudis fuliginosa,Dolichosudis fuliginosa,NA
 Coryphaenidae,Dolphinfishes nei ,Dolphinfishes nei - Coryphaenidae,NA
 Donax spp,Donax clams ,Donax clams - Donax spp,NA
 Zeidae,Dories nei ,Dories nei - Zeidae,NA
 Callionymus lyra,Dragonet ,Dragonet - Callionymus lyra,NA
 Cubiceps gracilis,Driftfish ,Driftfish - Cubiceps gracilis,NA
 Umbrina spp,Drums nei ,Drums nei - Umbrina spp,NA
 Epinephelus marginatus,Dusky grouper ,Dusky grouper - Epinephelus marginatus,NA
 Carcharhinus obscurus,Dusky shark ,Dusky shark - Carcharhinus obscurus,NA
 Siganus luridus,Dusky spinefoot ,Dusky spinefoot - Siganus luridus,NA
 Sepiola rondeleti,Dwarf bobtail squid ,Dwarf bobtail squid - Sepiola rondeleti,NA
 Galeus schultzi,Dwarf sawtail catshark ,Dwarf sawtail catshark - Galeus schultzi,NA
 Myliobatidae,Eagle rays ,Eagle rays - Myliobatidae,NA
"Eared seals, hair seals, walruses","Eared seals, hair seals, walruses","Eared seals, hair seals, walruses",NA
 Echinodermata,Echinoderms ,Echinoderms - Echinodermata,NA
 Cancer pagurus,Edible crab ,Edible crab - Cancer pagurus,NA
 Zoarces viviparus,Eelpout ,Eelpout - Zoarces viviparus,NA
 Lycodes spp,Eelpouts ,Eelpouts - Lycodes spp,NA
 Torpedinidae,Electric rays nei ,Electric rays nei - Torpedinidae,NA
 Sepia elegans,Elegant cuttlefish ,Elegant cuttlefish - Sepia elegans,NA
Ellopostoma megalomycter,Ellopostoma megalomycter,Ellopostoma megalomycter,NA
Emerald wrasse,Emerald wrasse,Emerald wrasse,NA
 Lethrinidae,Emperors(=Scavengers) nei ,Emperors(=Scavengers) nei - Lethrinidae,NA
 Lepidocybium flavobrunneum,Escolar ,Escolar - Lepidocybium flavobrunneum,NA
 Engraulis encrasicolus,European anchovy ,European anchovy - Engraulis encrasicolus,NA
 Sphyraena sphyraena,European barracuda ,European barracuda - Sphyraena sphyraena,NA
 Alloteuthis subulata,European common squid ,European common squid - Alloteuthis subulata,NA
 Conger conger,European conger ,European conger - Conger conger,NA
urchin ,European edible sea,European edible sea-urchin - Echinus esculentus,NA
urchin ,Stony sea,Stony sea-urchin - Paracentrotus lividus,NA
 Anguilla anguilla,European eel ,European eel - Anguilla anguilla,NA
 Ostrea edulis,European flat oyster ,European flat oyster - Ostrea edulis,NA
 Platichthys flesus,European flounder ,European flounder - Platichthys flesus,NA
 Todarodes sagittatus,European flying squid ,European flying squid - Todarodes sagittatus,NA
 Merluccius merluccius,European hake ,European hake - Merluccius merluccius,NA
 Homarus gammarus,European lobster ,European lobster - Homarus gammarus,NA
 Perca fluviatilis,European perch ,European perch - Perca fluviatilis,NA
 Sardina pilchardus,European pilchard(=Sardine) ,European pilchard(=Sardine) - Sardina pilchardus,NA
 Pleuronectes platessa,European plaice ,European plaice - Pleuronectes platessa,NA
 Acanthocardia echinata,European prickly cockle ,European prickly cockle - Acanthocardia echinata,NA
 Solen marginatus,European razor clam ,European razor clam - Solen marginatus,NA
 Dicentrarchus labrax,European seabass ,European seabass - Dicentrarchus labrax,NA
 Osmerus eperlanus,European smelt ,European smelt - Osmerus eperlanus,NA
 Sprattus sprattus,European sprat ,European sprat - Sprattus sprattus,NA
 Loligo vulgaris,European squid ,European squid - Loligo vulgaris,NA
 Coregonus lavaretus,European whitefish ,European whitefish - Coregonus lavaretus,NA
 Jujubinus exasperatus,Exasperating jujubine ,Exasperating jujubine - Jujubinus exasperatus,NA
 Caranx rhonchus,False scad ,False scad - Caranx rhonchus,NA
 Enchelycore anatina,Fangtooth moray ,Fangtooth moray - Enchelycore anatina,NA
 Cantherhines (=Navodon) spp,Filefishes nei ,Filefishes nei - Cantherhines (=Navodon) spp,NA
 Monacanthidae,"Filefishes, leatherjackets nei ","Filefishes, leatherjackets nei - Monacanthidae",NA
Finfish,Finfish,Finfish,NA
Finfish and invertebrates,Finfish and invertebrates,Finfish and invertebrates,NA
 Osteichthyes,Finfishes nei ,Finfishes nei - Osteichthyes,NA
 Osteichthyes,Freshwater fishes nei ,Freshwater fishes nei - Osteichthyes,NA
 Osteichthyes,Groundfishes nei ,Groundfishes nei - Osteichthyes,NA
 Osteichthyes,Marine fishes nei ,Marine fishes nei - Osteichthyes,NA
 Osteichthyes,Pelagic fishes nei ,Pelagic fishes nei - Osteichthyes,NA
 Ostreidae,Flat and cupped oysters nei ,Flat and cupped oysters nei - Ostreidae,NA
 Ostrea spp,Flat oysters nei ,Flat oysters nei - Ostrea spp,NA
 Pleuronectiformes,Flatfishes nei ,Flatfishes nei - Pleuronectiformes,NA
 Mugil cephalus,Flathead grey mullet ,Flathead grey mullet - Mugil cephalus,NA
 Dilsea carnosa,Fleshy dilsea ,Fleshy dilsea - Dilsea carnosa,NA
"Flounders, halibuts, soles","Flounders, halibuts, soles","Flounders, halibuts, soles",NA
 Fistularia spp,Flutemouth ,Flutemouth - Fistularia spp,NA
 Dactylopterus volitans,Flying gurnard ,Flying gurnard - Dactylopterus volitans,NA
 Ommastrephes spp,Flying squids nei ,Flying squids nei - Ommastrephes spp,NA
 Exocoetidae,Flyingfishes nei ,Flyingfishes nei - Exocoetidae,NA
 Phycis phycis,Forkbeard ,Forkbeard - Phycis phycis,NA
 Phycis spp,Forkbeards nei ,Forkbeards nei - Phycis spp,NA
spot megrim ,Four,Four-spot megrim - Lepidorhombus boscii,NA
spotted goby ,Four,Four-spotted goby - Deltentosteus quadrimaculatus,NA
 Triglopsis quadricornis,Fourhorn sculpin ,Fourhorn sculpin - Triglopsis quadricornis,NA
Freshwater and diadromous fishes,Freshwater and diadromous fishes,Freshwater and diadromous fishes,NA
 Abramis brama,Freshwater bream ,Freshwater bream - Abramis brama,NA
 Abramis spp,Freshwater breams nei ,Freshwater breams nei - Abramis spp,NA
Freshwater crustaceans,Freshwater crustaceans,Freshwater crustaceans,NA
Freshwater fishes,Freshwater fishes,Freshwater fishes,NA
Freshwater molluscs,Freshwater molluscs,Freshwater molluscs,NA
" Auxis thazard, A.rochei",Frigate and bullet tuna ,"Frigate and bullet tuna - Auxis thazard, A.rochei",NA
 Auxis thazard,Frigate tuna ,Frigate tuna - Auxis thazard,NA
Fucus spp,Fucus spp,Fucus spp,NA
 Umbrina ronchus,Fusca drum ,Fusca drum - Umbrina ronchus,NA
 Gadiformes,Gadiformes nei ,Gadiformes nei - Gadiformes,NA
 Belone belone,Garfish ,Garfish - Belone belone,NA
 Gastropoda,Gastropods nei ,Gastropods nei - Gastropoda,NA
Gelidium rex,Gelidium rex,Gelidium rex,NA
 Gelidium spp,Gelidium seaweeds ,Gelidium seaweeds - Gelidium spp,NA
 Geryon spp,Geryons nei ,Geryons nei - Geryon spp,NA
 Gobius cobitis,Giant goby ,Giant goby - Gobius cobitis,NA
 Aristaeomorpha foliacea,Giant red shrimp ,Giant red shrimp - Aristaeomorpha foliacea,NA
 Penaeus monodon,Giant tiger prawn ,Giant tiger prawn - Penaeus monodon,NA
 Nassarius gibbosulus,Gibbous nassa ,Gibbous nassa - Nassarius gibbosulus,NA
 Gilchristella aestuarius,Gilchrist's round herring ,Gilchrist's round herring - Gilchristella aestuarius,NA
 Sparus aurata,Gilthead seabream ,Gilthead seabream - Sparus aurata,NA
 Actinia cari,Girdle anemone ,Girdle anemone - Actinia cari,NA
 Heteropriacanthus cruentatus,Glasseye ,Glasseye - Heteropriacanthus cruentatus,NA
 Hymenocephalus italicus,Glasshead grenadier ,Glasshead grenadier - Hymenocephalus italicus,NA
 Mullidae,"Goatfishes,Red mullets, nei ","Goatfishes,Red mullets, nei - Mullidae",NA
 Gobiidae,Gobies nei ,Gobies nei - Gobiidae,NA
Gobius strictus,Gobius strictus,Gobius strictus,NA
 Epinephelus costae,Goldblotch grouper ,Goldblotch grouper - Epinephelus costae,NA
 Venerupis aurea,Golden carpet shell ,Golden carpet shell - Venerupis aurea,NA
 Liza aurata,Golden grey mullet ,Golden grey mullet - Liza aurata,NA
 Sebastes marinus,Golden redfish ,Golden redfish - Sebastes marinus,NA
 Plesionika martia,Golden shrimp ,Golden shrimp - Plesionika martia,NA
 Carassius auratus,Goldfish ,Goldfish - Carassius auratus,NA
wrasse ,Goldsinny,Goldsinny-wrasse - Ctenolabrus rupestris,NA
 Sardinella gibbosa,Goldstripe sardinella ,Goldstripe sardinella - Sardinella gibbosa,NA
 Ctenopharyngodon idellus,Grass carp (=White amur) ,Grass carp (=White amur) - Ctenopharyngodon idellus,NA
 Zosterisessor ophiocephalus,Grass goby ,Grass goby - Zosterisessor ophiocephalus,NA
 Pecten maximus,Great Atlantic scallop ,Great Atlantic scallop - Pecten maximus,NA
 Sphyraena barracuda,Great barracuda ,Great barracuda - Sphyraena barracuda,NA
 Etmopterus princeps,Great lanternshark ,Great lanternshark - Etmopterus princeps,NA
 Pecten jacobaeus,Great Mediterranean scallop ,Great Mediterranean scallop - Pecten jacobaeus,NA
 Lopholatilus chamaeleonticeps,Great Northern tilefish ,Great Northern tilefish - Lopholatilus chamaeleonticeps,NA
 Seriola dumerili,Greater amberjack ,Greater amberjack - Seriola dumerili,NA
 Argentina silus,Greater argentine ,Greater argentine - Argentina silus,NA
 Phycis blennoides,Greater forkbeard ,Greater forkbeard - Phycis blennoides,NA
 Trachinus draco,Greater weever ,Greater weever - Trachinus draco,NA
 Carcinus maenas,Green crab ,Green crab - Carcinus maenas,NA
 Aprion virescens,Green jobfish ,Green jobfish - Aprion virescens,NA
 Labrus viridis,Green wrasse ,Green wrasse - Labrus viridis,NA
 Glauconome virens,Greenish glauconomya ,Greenish glauconomya - Glauconome virens,NA
 Gadus ogac,Greenland cod ,Greenland cod - Gadus ogac,NA
 Reinhardtius hippoglossoides,Greenland halibut ,Greenland halibut - Reinhardtius hippoglossoides,NA
 Somniosus microcephalus,Greenland shark ,Greenland shark - Somniosus microcephalus,NA
 Macrourus spp,Grenadiers nei ,Grenadiers nei - Macrourus spp,NA
 Macrouridae,"Grenadiers,Rattails, nei ","Grenadiers,Rattails, nei - Macrouridae",NA
 Eutrigla gurnardus,Grey gurnard ,Grey gurnard - Eutrigla gurnardus,NA
 Balistes capriscus,Grey triggerfish ,Grey triggerfish - Balistes capriscus,NA
 Symphodus cinereus,Grey wrasse ,Grey wrasse - Symphodus cinereus,NA
 Tapes decussatus,Grooved carpet shell ,Grooved carpet shell - Tapes decussatus,NA
squirt ,Grooved sea,Grooved sea-squirt - Microcosmus sulcatus,NA
 Epinephelus spp,Groupers nei ,Groupers nei - Epinephelus spp,NA
 Serranidae,"Groupers, Seabasses, nei ","Groupers, Seabasses, nei - Serranidae",NA
 Haemulidae (=Pomadasyidae),"Grunts, Sweetlips, nei ","Grunts, Sweetlips, nei - Haemulidae (=Pomadasyidae)",NA
 Seriola carpenteri,Guinean amberjack ,Guinean amberjack - Seriola carpenteri,NA
 Rhinobatidae,"Guitarfishes etc, nei ","Guitarfishes etc, nei - Rhinobatidae",NA
 Rhinobatos spp,Guitarfishes nei ,Guitarfishes nei - Rhinobatos spp,NA
 Centrophorus granulosus,Gulper shark ,Gulper shark - Centrophorus granulosus,NA
 Trigla spp,Gurnards nei ,Gurnards nei - Trigla spp,NA
 Triglidae,"Gurnards,Searobins nei ","Gurnards,Searobins nei - Triglidae",NA
 Melanogrammus aeglefinus,Haddock ,Haddock - Melanogrammus aeglefinus,NA
 Trichiurus spp,Hairtails nei ,Hairtails nei - Trichiurus spp,NA
 Trichiuridae,"Hairtails, Scabbardfishes, nei ","Hairtails, Scabbardfishes, nei - Trichiuridae",NA
 Merluccius spp,Hakes nei ,Hakes nei - Merluccius spp,NA
 Sorsogona prionota,Halfspined flathead ,Halfspined flathead - Sorsogona prionota,NA
 Sphyrna spp,Hammerhead sharks nei ,Hammerhead sharks nei - Sphyrna spp,NA
 Polyprion oxygeneios,Hapuku wreckfish ,Hapuku wreckfish - Polyprion oxygeneios,NA
 Meretrix spp,Hard clams nei ,Hard clams nei - Meretrix spp,NA
 Polybius henslowii,Henslow<U+0092>s swimming crab ,Henslow<U+0092>s swimming crab - Polybius henslowii,NA
"Herrings, sardines, anchovies","Herrings, sardines, anchovies","Herrings, sardines, anchovies",NA
 Clupeidae,"Herrings, Sardines, nei ","Herrings, Sardines, nei - Clupeidae",NA
Homarus spp,Homarus spp,Homarus spp,NA
 Eledone spp,Horned and musky octopuses ,Horned and musky octopuses - Eledone spp,NA
 Eledone cirrosa,Horned octopus ,Horned octopus - Eledone cirrosa,NA
 Modiolus spp,Horse mussels nei ,Horse mussels nei - Modiolus spp,NA
 Triakidae,"Houndsharks, Smoothhounds, nei ","Houndsharks, Smoothhounds, nei - Triakidae",NA
 Apristurus laurussonii,Iceland catshark ,Iceland catshark - Apristurus laurussonii,NA
 Chlamys islandica,Icelandic scallop ,Icelandic scallop - Chlamys islandica,NA
 Schedophilus ovalis,Imperial blackfish ,Imperial blackfish - Schedophilus ovalis,NA
 Arnoglossus imperialis,Imperial scaldfish ,Imperial scaldfish - Arnoglossus imperialis,NA
Pacific gurnards ,Indo,Indo-Pacific gurnards - Chelidonichthys spp,NA
Pacific king mackerel ,Indo,Indo-Pacific king mackerel - Scomberomorus guttatus,NA
Pacific sailfish ,Indo,Indo-Pacific sailfish - Istiophorus platypterus,NA
 Loliginidae,Inshore squids nei ,Inshore squids nei - Loliginidae,NA
 Aphanopus intermedius,Intermediate scabbardfish ,Intermediate scabbardfish - Aphanopus intermedius,NA
 Mycteroperca fusca,Island grouper ,Island grouper - Mycteroperca fusca,NA
 Trachurus spp,Jack and horse mackerels nei ,Jack and horse mackerels nei - Trachurus spp,NA
 Caranx spp,"Jacks, Crevalles, nei ","Jacks, Crevalles, nei - Caranx spp",NA
 Ruditapes philippinarum,Japanese carpet shell ,Japanese carpet shell - Ruditapes philippinarum,NA
 Gelidium amansii,Japanese isinglass ,Japanese isinglass - Gelidium amansii,NA
 Rhopilema spp,Jellyfishes ,Jellyfishes - Rhopilema spp,NA
 Zeus faber,John dory ,John dory - Zeus faber,NA
 Pseudocaranx chilensis,Juan Fernandez trevally ,Juan Fernandez trevally - Pseudocaranx chilensis,NA
 Synaphobranchus kaupii,Kaup's arrowtooth eel ,Kaup's arrowtooth eel - Synaphobranchus kaupii,NA
 Laminariaceae,Kelps nei ,Kelps nei - Laminariaceae,NA
 Paralithodes spp,King crabs ,King crabs - Paralithodes spp,NA
 Lithodes spp,King crabs nei ,King crabs nei - Lithodes spp,NA
lobsters,"King crabs, squat","King crabs, squat-lobsters",NA
 Lithodidae,"King crabs,Stone crabs, nei ","King crabs,Stone crabs, nei - Lithodidae",NA
 Genypterus capensis,Kingklip ,Kingklip - Genypterus capensis,NA
 Dalatias licha,Kitefin shark ,Kitefin shark - Dalatias licha,NA
 Centroceras clavulatum,Klein's sole ,Klein's sole - Centroceras clavulatum,NA
 Centroceras clavulatum,Red panache ,Red panache - Centroceras clavulatum,NA
 Scymnodon ringens,Knifetooth dogfish ,Knifetooth dogfish - Scymnodon ringens,NA
 Charonia rubicunda,Knobbed triton ,Knobbed triton - Charonia rubicunda,NA
 Macropipus tuberculatus,Knobby swimcrab ,Knobby swimcrab - Macropipus tuberculatus,NA
 Mesogobius batrachocephalus,Knout goby ,Knout goby - Mesogobius batrachocephalus,NA
 Argis lar,Kuro shrimp ,Kuro shrimp - Argis lar,NA
 Penaeus japonicus,Kuruma prawn ,Kuruma prawn - Penaeus japonicus,NA
 Monodonta labio,Labio monodont ,Labio monodont - Monodonta labio,NA
 Coregonus clupeaformis,Lake(=Common) whitefish ,Lake(=Common) whitefish - Coregonus clupeaformis,NA
Lampadena speculigera,Lampadena speculigera,Lampadena speculigera,NA
 Petromyzonidae,Lampreys nei ,Lampreys nei - Petromyzonidae,NA
 Etmopterus spp,Lantern sharks nei ,Lantern sharks nei - Etmopterus spp,NA
eye dentex ,Large,Large-eye dentex - Dentex macrophthalmus,NA
eyed rabbitfish ,Large,Large-eyed rabbitfish - Hydrolagus mirabilis,NA
scaled gurnard ,Large,Large-scaled gurnard - Lepidotrigla cavillone,NA
 Trichiurus lepturus,Largehead hairtail ,Largehead hairtail - Trichiurus lepturus,NA
 Pseudotolithus senegallus,Law croaker ,Law croaker - Pseudotolithus senegallus,NA
 Centrophorus squamosus,Leafscale gulper shark ,Leafscale gulper shark - Centrophorus squamosus,NA
 Liza saliens,Leaping mullet ,Leaping mullet - Liza saliens,NA
 Lichia amia,Leerfish ,Leerfish - Lichia amia,NA
 Bothidae,Lefteye flounders nei ,Lefteye flounders nei - Bothidae,NA
 Microstomus kitt,Lemon sole ,Lemon sole - Microstomus kitt,NA
 Raja leopardus,Leopard skate ,Leopard skate - Raja leopardus,NA
 Todaropsis eblanae,Lesser flying squid ,Lesser flying squid - Todaropsis eblanae,NA
 Scyllarus arctus,Lesser slipper lobster ,Lesser slipper lobster - Scyllarus arctus,NA
 Trachinus vipera,Lesser weever ,Lesser weever - Trachinus vipera,NA
 Grapsus grapsus,Lightfoot crab ,Lightfoot crab - Grapsus grapsus,NA
 Octopus defilippi,Lilliput longarm octopus ,Lilliput longarm octopus - Octopus defilippi,NA
 Patella vulgata,Limpet ,Limpet - Patella vulgata,NA
 Patella spp,Limpets nei ,Limpets nei - Patella spp,NA
 Molva molva,Ling ,Ling - Molva molva,NA
 Molva spp,Lings nei ,Lings nei - Molva spp,NA
 Somniosus rostratus,Little sleeper shark ,Little sleeper shark - Somniosus rostratus,NA
 Euthynnus alletteratus,Little tunny (=Atl.black skipjack) ,Little tunny (=Atl.black skipjack) - Euthynnus alletteratus,NA
Liza spp,Liza spp,Liza spp,NA
 Synodontidae,Lizardfishes nei ,Lizardfishes nei - Synodontidae,NA
 Reptantia,Lobsters nei ,Lobsters nei - Reptantia,NA
rock lobsters,"Lobsters, spiny","Lobsters, spiny-rock lobsters",NA
armed squid ,Long,Long-armed squid - Chiroteuthis veranyi,NA
 Tetrapturus pfluegeri,Longbill spearfish ,Longbill spearfish - Tetrapturus pfluegeri,NA
 Chelidonichthys obscurus,Longfin gurnard ,Longfin gurnard - Chelidonichthys obscurus,NA
 Seriola rivoliana,Longfin yellowtail ,Longfin yellowtail - Seriola rivoliana,NA
 Squalus blainvillei,Longnose spurdog ,Longnose spurdog - Squalus blainvillei,NA
 Centroscymnus crepidater,Longnose velvet dogfish ,Longnose velvet dogfish - Centroscymnus crepidater,NA
 Raja oxyrinchus,Longnosed skate ,Longnosed skate - Raja oxyrinchus,NA
 Macroramphosus scolopax,Longspine snipefish ,Longspine snipefish - Macroramphosus scolopax,NA
 Patagonotothen ramsayi,Longtail Southern cod ,Longtail Southern cod - Patagonotothen ramsayi,NA
 Centrophorus lusitanicus,Lowfin gulper shark ,Lowfin gulper shark - Centrophorus lusitanicus,NA
 Arenicola marina,Lugworm ,Lugworm - Arenicola marina,NA
 Cyclopterus lumpus,Lumpfish(=Lumpsucker) ,Lumpfish(=Lumpsucker) - Cyclopterus lumpus,NA
 Halobatrachus didactylus,Lusitanian toadfish ,Lusitanian toadfish - Halobatrachus didactylus,NA
 Decapterus macarellus,Mackerel scad ,Mackerel scad - Decapterus macarellus,NA
 Lamnidae,"Mackerel sharks, Porbeagles, nei ","Mackerel sharks, Porbeagles, nei - Lamnidae",NA
 Scombridae,Mackerels nei ,Mackerels nei - Scombridae,NA
 Mactridae,Mactra surf clams nei ,Mactra surf clams nei - Mactridae,NA
 Sardinella maderensis,Madeiran sardinella ,Madeiran sardinella - Sardinella maderensis,NA
Maja spider crabs nei,Maja spider crabs nei,Maja spider crabs nei,NA
 Isurus spp,Mako sharks ,Mako sharks - Isurus spp,NA
 Raja melitensis,Maltese ray ,Maltese ray - Raja melitensis,NA
 Sarotherodon galilaeus,Mango tilapia ,Mango tilapia - Sarotherodon galilaeus,NA
 Corbicula manilensis,Manila clam ,Manila clam - Corbicula manilensis,NA
 Torpedo marmorata,Marbled electric ray ,Marbled electric ray - Torpedo marmorata,NA
 Siganus rivulatus,Marbled spinefoot ,Marbled spinefoot - Siganus rivulatus,NA
 Brachyura,Marine crabs nei ,Marine crabs nei - Brachyura,NA
 Crustacea,Marine crustaceans nei ,Marine crustaceans nei - Crustacea,NA
